id,block_type,category,template,concept_style
"1","Introduction","생활용품","<div style='background-color: #f8f8f8; padding: 50px 0; font-family: 'Noto Sans KR', sans-serif;'><div style='display: flex; justify-content: center; align-items: center; max-width: 1000px; margin: auto;'><div style='flex: 1; padding-right: 40px;'><span style='display: inline-block; background-color: #4B2E6E; color: white; padding: 5px 15px; font-weight: bold; font-size: 16px;'>NOTICE</span><h2 style='font-size: 36px; font-weight: bold; color: #333; line-height: 1.4; margin-top: 15px;'>쿤달 딥 클린 항균 칫솔<br>부드러운모<br>혼재출고 안내</h2><p style='font-size: 14px; color: #666; margin-top: 20px;'>쿤달 딥 클린 항균 칫솔 부드러운모는 제조사 표기가 상이한<br>두 제품이 혼재되어 출고될 수 있음을 알려드립니다.<br>기존 제품과 효과 및 품질은 동일하니 구매에 참고 부탁드립니다.</p></div><div style='flex: 1;'><img src='[컬러풀한 칫솔들이 투명한 원통형 용기에 담겨있는 제품 사진]' alt='쿤달 딥 클린 항균 칫솔 제품' style='width: 100%; max-width: 350px;'/></div></div></div>","깔끔한 흰색 배경에 보라색 포인트 컬러를 사용하여 공지사항임을 명확히 전달하는 스타일입니다. 제품 사진을 오른쪽에 배치하여 어떤 제품에 대한 공지인지 쉽게 알 수 있도록 구성했습니다."
"2","Introduction","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #ffffff;'><h2 style='font-family: 'Helvetica', sans-serif; font-weight: 300; font-size: 30px; color: #000; letter-spacing: 2px;'>KUNDAL</h2><h1 style='font-family: 'Times New Roman', serif; font-weight: bold; font-size: 48px; color: #000; margin-top: 5px;'>DEEP CLEAN TOOTHBRUSH</h1><hr style='width: 50px; border: 1px solid #000; margin: 30px auto;'/><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 18px; color: #333;'>부드러운 초극세모로 잇몸까지 깨끗하게</p><img src='[알록달록한 6가지 색상의 쿤달 칫솔이 투명한 원통형 케이스에 담겨있는 누끼 이미지]' alt='쿤달 딥 클린 칫솔' style='width: 100%; max-width: 500px; margin-top: 40px;'/></div>","세리프와 산세리프 폰트를 조화롭게 사용하여 고급스럽고 클래식한 분위기를 연출하는 인트로 스타일입니다. 중앙 정렬과 여백을 활용하여 시선을 집중시키고 제품의 핵심 가치를 전달합니다."
"3","KeyFeatures","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #f7f3f0;'><h2 style='font-family: 'Helvetica', sans-serif; font-weight: bold; font-size: 32px; color: #000; margin-bottom: 40px;'>6-COLOR SET</h2><div style='display: flex; justify-content: center; gap: 20px; margin-bottom: 40px;'><div style='text-align: center;'><div style='width: 50px; height: 50px; background-color: #6a4c93; border-radius: 50%;'></div><p style='margin-top: 10px; font-size: 14px;'>Purple</p></div><div style='text-align: center;'><div style='width: 50px; height: 50px; background-color: #1982c4; border-radius: 50%;'></div><p style='margin-top: 10px; font-size: 14px;'>Blue</p></div><div style='text-align: center;'><div style='width: 50px; height: 50px; background-color: #ffca3a; border-radius: 50%;'></div><p style='margin-top: 10px; font-size: 14px;'>Yellow</p></div><div style='text-align: center;'><div style='width: 50px; height: 50px; background-color: #ff595e; border-radius: 50%;'></div><p style='margin-top: 10px; font-size: 14px;'>Red</p></div><div style='text-align: center;'><div style='width: 50px; height: 50px; background-color: #8ac926; border-radius: 50%;'></div><p style='margin-top: 10px; font-size: 14px;'>Green</p></div><div style='text-align: center;'><div style='width: 50px; height: 50px; background-color: #2ec4b6; border-radius: 50%;'></div><p style='margin-top: 10px; font-size: 14px;'>Turquoise</p></div></div><img src='[6가지 색상의 쿤달 칫솔 핸들이 다채롭게 펼쳐져 있는 이미지]' alt='칫솔 색상' style='width: 100%; max-width: 800px;'/></div>","제품의 다양한 색상 옵션을 원형 컬러칩과 실제 제품 이미지로 생동감있게 보여주는 스타일입니다. 부드러운 배경색 위에 다채로운 색상을 강조하여 시각적 즐거움을 줍니다."
"4","KeyFeatures","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #f7f3f0;'><p style='font-family: 'Helvetica', sans-serif; font-size: 18px; color: #888;'>POINT 1</p><h3 style='font-family: 'Noto Sans KR', sans-serif; font-weight: bold; font-size: 36px; color: #333; margin-top: 10px;'>부드럽고 슬림한 이중 미세모</h3><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 16px; color: #555; margin-top: 20px; line-height: 1.6;'>일반모와 미세모가 합쳐진 이중 미세모가<br>치아 표면과 틈새까지 부드럽고 깨끗하게 케어합니다.</p><img src='[칫솔모를 클로즈업하여 이중 미세모의 섬세함을 보여주는 이미지]' alt='이중 미세모 클로즈업' style='width: 100%; max-width: 600px; margin-top: 40px;'/></div>","제품의 핵심 특징을 'POINT'로 넘버링하여 순차적으로 설명하는 스타일입니다. 특징을 설명하는 클로즈업 이미지를 크게 사용하여 소비자의 이해를 돕고 신뢰감을 줍니다."
"5","KeyFeatures","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #ffffff;'><p style='font-family: 'Helvetica', sans-serif; font-size: 18px; color: #888;'>POINT 2</p><h3 style='font-family: 'Noto Sans KR', sans-serif; font-weight: bold; font-size: 36px; color: #333; margin-top: 10px;'>99.9% 항균모</h3><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 16px; color: #555; margin-top: 20px; line-height: 1.6;'>세균 번식을 억제하는 항균모를 사용하여<br>매일 사용하는 칫솔을 위생적으로 관리할 수 있습니다.</p><img src='[99.9% 항균력을 인증하는 시험성적서 그래픽 이미지]' alt='항균력 시험성적서' style='width: 100%; max-width: 500px; margin-top: 40px;'/></div>","과학적인 근거와 데이터를 제시하여 제품의 기능적 장점을 강조하는 스타일입니다. 인증서나 시험 결과 이미지를 활용하여 제품의 신뢰도를 높이는 데 중점을 둡니다."
"6","KeyFeatures","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #f7f3f0;'><p style='font-family: 'Helvetica', sans-serif; font-size: 18px; color: #888;'>POINT 3</p><h3 style='font-family: 'Noto Sans KR', sans-serif; font-weight: bold; font-size: 36px; color: #333; margin-top: 10px;'>컴팩트한 헤드 사이즈</h3><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 16px; color: #555; margin-top: 20px; line-height: 1.6;'>작은 헤드가 구석구석 닿지 않는 곳까지<br>꼼꼼한 양치를 도와줍니다.</p><img src='[칫솔 헤드 옆에 자를 두어 컴팩트한 사이즈를 시각적으로 보여주는 이미지]' alt='칫솔 헤드 사이즈' style='width: 100%; max-width: 600px; margin-top: 40px;'/></div>","도식화된 이미지와 수치를 통해 제품의 규격적 특징을 명확하게 전달하는 스타일입니다. 사용자가 얻을 수 있는 실질적인 이점(꼼꼼한 양치)과 연결하여 설명합니다."
"7","KeyFeatures","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #ffffff;'><p style='font-family: 'Helvetica', sans-serif; font-size: 18px; color: #888;'>POINT 4</p><h3 style='font-family: 'Noto Sans KR', sans-serif; font-weight: bold; font-size: 36px; color: #333; margin-top: 10px;'>편안한 그립감의 핸들</h3><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 16px; color: #555; margin-top: 20px; line-height: 1.6;'>손에 잡기 편안한 유선형 디자인으로<br>안정적인 양치가 가능합니다.</p><img src='[칫솔 핸들의 유선형 디자인과 그립감을 강조하는 이미지]' alt='편안한 그립감' style='width: 100%; max-width: 600px; margin-top: 40px;'/></div>","제품의 인체공학적 디자인을 강조하여 사용 편의성을 어필하는 스타일입니다. 제품의 형태적 특징을 보여주는 이미지를 통해 편안한 사용 경험을 시각적으로 전달합니다."
"8","KeyFeatures","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #f7f3f0;'><p style='font-family: 'Helvetica', sans-serif; font-size: 18px; color: #888;'>POINT 5</p><h3 style='font-family: 'Noto Sans KR', sans-serif; font-weight: bold; font-size: 36px; color: #333; margin-top: 10px;'>위생적인 개별 칫솔캡</h3><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 16px; color: #555; margin-top: 20px; line-height: 1.6;'>개별 칫솔캡이 포함되어 있어<br>보관과 휴대가 위생적이고 간편합니다.</p><img src='[개별 칫솔캡이 씌워진 칫솔들을 보여주어 위생적인 보관을 강조하는 이미지]' alt='개별 칫솔캡' style='width: 100%; max-width: 600px; margin-top: 40px;'/></div>","제품의 구성품(칫솔캡)을 통해 얻을 수 있는 위생 및 휴대성의 이점을 강조하는 스타일입니다. 깔끔한 연출 이미지를 사용하여 청결한 느낌을 시각적으로 전달합니다."
"9","KeyFeatures","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #ffffff;'><p style='font-family: 'Helvetica', sans-serif; font-size: 18px; color: #888;'>POINT 6</p><h3 style='font-family: 'Noto Sans KR', sans-serif; font-weight: bold; font-size: 36px; color: #333; margin-top: 10px;'>안심하고 사용하는 칫솔</h3><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 16px; color: #555; margin-top: 20px; line-height: 1.6;'>BPA, 6대 중금속 등 유해물질 불검출 테스트를 완료했습니다.</p><img src='[BPA 불검출 및 6대 중금속 불검출을 나타내는 안전 인증 마크 그래픽]' alt='안전 인증 마크' style='width: 100%; max-width: 400px; margin-top: 40px;'/></div>","안전 인증 마크와 테스트 결과를 아이콘 형태로 시각화하여 제품의 안전성을 강조하는 스타일입니다. 소비자가 안심하고 사용할 수 있도록 신뢰감을 주는 정보를 명확하게 제시합니다."
"10","KeyFeatures","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #f7f3f0;'><h2 style='font-family: 'Helvetica', sans-serif; font-weight: bold; font-size: 32px; color: #000; margin-bottom: 40px;'>CHECK POINT</h2><img src='[쿤달 칫솔 6개입 세트 패키지 이미지]' alt='쿤달 칫솔 패키지' style='width: 100%; max-width: 500px; margin-bottom: 30px;'/><div style='display: inline-block; text-align: left; border-top: 2px solid #333; border-bottom: 2px solid #333; padding: 20px 0;'><p style='font-size: 16px; margin: 10px 0;'>✓ 부드럽고 슬림한 이중 미세모</p><p style='font-size: 16px; margin: 10px 0;'>✓ 99.9% 항균모로 위생적인 관리</p><p style='font-size: 16px; margin: 10px 0;'>✓ 컴팩트 헤드로 구석까지 꼼꼼하게</p><p style='font-size: 16px; margin: 10px 0;'>✓ 편안한 그립감의 핸들</p></div></div>","제품의 핵심 특장점들을 체크리스트 형식으로 요약하여 다시 한번 각인시키는 스타일입니다. 패키지 이미지와 함께 제시하여 소비자가 구매 시 기억해야 할 포인트를 명확하게 정리해줍니다."
